SUBTOPIC,DEFINITION,,,,,
P.2.3 Decision-making tools to assess costs,"Methods to determine the financial requirements of various data activities and infrastructure (e.g., cost-benefit analysis, market analysis, and decision trees). ",,,,,
P.2.4 Cost-benefit analysis,A systematic approach to estimating the strengths and weaknesses of alternative actions to determine options which provide the best approach to achieving benefits while preserving savings. [39] ,,,,,
P.2.5 Cost breakdown by lifecycle stage,"Identification of funds required for each data activity in a project (e.g., hardware, software, and staffing for data generation), or for an RDM infrastructure (e.g., centralized data services).",,,,,
P.2.6 Downstream lifecycle costs,"Funds required after establishment of an RDM infrastructure (e.g., technology refresh and maintenance) or for later-stage data activities (e.g., long-term preservation).  ",,,,,
P.2.7 Staffing and training,Costs incurred in assuring that new staff with appropriate skills and expertise are hired for specific data activities and that existing staff attain new and advanced skills through instructional courses. ,,,,,
P.3.1 Written data management plans (DMPs),"Documents that provide sufficient detail on the following topics: Administrative Data, Data Collection, Documentation and Metadata, Ethics and Legal Compliance, Storage and Backup, Selection and Preservation, Data Sharing, and Responsibilities and Resources. DMPs are referred to herein as a research data ""roadmaps."" [40] ",,,,,
P.3.2 Purpose/intent of research study and context of anticipated data use, Clear articulation of research objectives in terms of data products that are essential to address specific research and/or technical requirements. ,,,,,
"P.3.3 Specification of data objects, metadata, analysis tools, and workflows throughout the lifecycle","Detailed descriptions of all information, processes, software, and hardware required from conception to completion of a research data project. ",,,,,
P.3.4 Machine-readable DMPs,Research data roadmap documents in a form that can be used and understood by a computer. [41] ,,,,,
P.3.5 Linkage of DMPs to administrative records,"Interconnection of a research data roadmaps to operational data, e.g., agreements, transactions. ",,,,,
"P.3.6 Data organization in, e.g., a database and a repository, to facilitate future access","The practice of categorizing, classifying, and storing data with sufficient detail and specificity such that the data are readily discoverable and usable by others. [42] ",,,,,
P.3.7 Data management expertise and training,"In-class, on-line, and/or hands-on instruction for staff to attain the skills and knowledge required to manage data in a research study. ",,,,,
P.4.1 Quantitative and qualitative,"Quantitative data are numerical data, e.g., measurements and some controlled observations and questionnaires. Qualitative data are defined as non-numerical data, e.g., text, video, photographs, or audio recordings. [43]",,,,,
"P.4.2 Measurements, including images, audio recordings, and photos/videos","A quantity in various formats, including numerical, visual, and auditory. ",,,,,
P.4.3 Observation,A fact or occurrence often involving measurement with instruments. [44] ,,,,,
P.4.4 Survey,A list of questions aimed for extracting specific data from a particular group of people. [45] ,,,,,
P.4.5 Software,A computer-based application that converts inputs into outputs to support the user in one or more research tasks. [46] ,,,,,
P.4.6 Model,"A representation, pattern, or mathematical description that can help scientists replicate a system, process, or research result. [47] ",,,,,
P.4.7 Documentation (text),"Comprehensive information that accompanies a dataset, including all associated metadata, data dictionary, description of methods and instruments [and software used to generate/collect and] process the data, and other supporting data (e.g., duplicate sample results, replicate analyses). [48] ",,,,,
P.4.8 Specimen (physical sample),A tangible object that may observed or tested to determine its properties or characteristics. ,,,,,
P.4.9 Presentation,Material assembled to explain and describe research results or processes to an audience. ,,,,,
P.5.1 Organizational support for making data more FAIR," Institutional resources to improve the extent of ""FAIRness"" of data. (FAIRness is used herein to denote a continuum state ranging from no FAIR aspects to fully FAIR.) ",,,,,
P.5.2 Identification of methods/guidelines vis-à-vis FAIR principles,An exercise to locate techniques and recommended procedures related to FAIRness. ,,,,,
P.6.1 Criteria for selection of data/metadata,"Requirements and needs by which decisions are made regarding what information to generate, collect, and document in a research study. ",,,,,
P.6.2 Nature of data/metadata required,Specification of the requisite types and characteristics of selected information. ,,,,,
P.6.3 Intended extent of FAIRness, The degree to which data and metadata are meant to comply with the FAIR data principles. ,,,,,
P.6.4 Methods to capture and store data/metadata,"Techniques or means by which data/metadata are collected, recorded, and preserved.",,,,,
P.6.5 Metadata schema," The overall structure of data about the data. Two examples of general-purpose metadata schema are Dublin Core and MODS (Metadata Object Description Schema). [50, 51] ",,,,,
P.7.1 Design,"A set of principles that are formulated from specific strategies, rules, models, and guidelines for the management and flow of a dataset throughout its lifecycle. ",,,,,
P.7.2 Processing operations,"Methodology for translating raw data into useable information. Specific methods include, e.g., data preparation, validation, sorting, aggregation, analysis, and reporting.",,,,,
P.7.3 Workflow,"The process of managing data in a structured manner. It involves collecting, organizing, and processing data so that it can be used for various purposes. [52] ",,,,,
P.7.4 Model," A detailed description or scaled representation of the relationships and data flow between different components of an RDM system, typically in the form of a diagram or flowchart. [53] ",,,,,
P.7.5 LIMS," A laboratory information management system (LIMS) is a software system developed to support laboratory operations (e.g., track specimens and workflows and aggregate data). [54] ",,,,,
"P.7.6 Hosting and storage, cloud storage","Methods whereby, and locations wherein, data are saved and from which data can be retrieved.  ",,,,,
P.7.7 Configuration management,"The actions of tracking and controlling changes in the hardware and software components, e.g., updates and version control. [55] ",,,,,
P.7.8 Interoperability among different architectures,"The capability to communicate, execute programs, or transfer data among different RDM systems in a useful and meaningful manner that requires the user to have little or no knowledge of the unique characteristics of those systems. [58]",,,,,
P.7.9 Security," Features of the architecture that protect data from unauthorized access, denial of access, corruption, or theft throughout their entire lifecycles. [18] ",,,,,
P.7.10 Existing standards," Standards relevant to data architecture, including schema (e.g., based on SQL, JSON), format (e.g., JSON, XML), and APIs (e.g., Google Search for the web). ",,,,,
P.8.1 Organizational research needs," Essential resources required to accomplish the objectives of research projects and RDM (e.g., centralized infrastructure, appropriate training, and support staff). ",,,,,
P.8.2 Tools to support data-related processes," Items, e.g., instruments, methods, utility software, and APIs, that enable research. ",,,,,
P.8.3 Models that connect infrastructure to data processes and workflow,A detailed description or scaled representation of the relationships between data tasks and movement and the hardware and software components in an RDMI. [53] ,,,,,
P.8.4 Interoperability," The capability to seamlessly communicate, execute programs, or transfer data among various functional components .that requires the user to have little or no knowledge of the unique characteristics of those components. [58] ",,,,,
P.8.5 Persistent instrument identifiers," Globally unique, persistent, and resolvable identifiers of operational scientific instruments enable research data to be persistently associated with such crucial metadata, helping to set data into context. The Research Data Alliance Working Group Persistent Identification of Instruments (PIDINST) developed a metadata schema and prototyped schema implementation and demonstrated the viability of the proposed solution in practice. [59]",,,,,
P.8.6 Sustainability of data vis-à-vis obsolete infrastructure, Concerns regarding the ability to reproduce and reuse data if the hardware and software components become outdated or non-functional. ,,,,,
P.8.7 Security and privacy considerations," The degree of protection of data from unauthorized access, denial of access, corruption, or theft provided by the hardware and software. [18] ",,,,,
P.8.8 Staff expertise and support staff,"Personnel with the appropriate skills and knowledge to maintain and update the hardware and software infrastructure as needed, and personnel to interface with researchers using the infrastructure. ",,,,,
"P.9.1 Criteria, i.e., general vs. domain-specific standards","Requirements and needs by which decisions are made regarding the type of research standard, i.e., broadly applicable or limited to a particular field of research. ",,,,,
P.9.2 Sources of standards/guidelines for data/metadata," Origins of accepted practices consisting of discrete, reusable components, e.g., data types, identifiers, schemas, and formats. Examples include the Dublin Core Metadata Initiative and Schema.org. [60] ",,,,,
P.9.3 Quality standards," Guidelines that provide sufficient information to allow all users to readily evaluate the degree of “fitness for purpose” of the data. Key data quality components include completeness, accuracy, integrity, consistency, and timeliness. [15, pg 26, 57] ",,,,,
P.9.4 Community-based standards/conventions ,"Community-based data and metadata standards are typically long-term endeavors with many different players and types of efforts. Such standards facilitate reuse of data integrative analysis and comparison to other datasets and linkage of data with other research products, such as scholarly material, algorithms and software. [63] ",,,,,
P.10.1 Goals/definition of success,Statement of project objectives; list of accomplishments demonstrating that these objectives were met.  ,,,,,
"P.10.2 Metrics for tracking use and impact measures, including reuse"," Quantitative and qualitative indicators of positive influence or outcomes, (e.g., number of citations of a dataset and anecdotal evidence of reuse of a dataset). [64] ",,,,,
P.11.1 Methods to share and reuse data/metadata,"Approaches to disseminate data/metadata and to facilitate reusability of data/metadata, (e.g., use of open repositories and maximizing the FAIRness of data). ",,,,,
P.11.2 Allocation of credit to project team members, Properly documenting and recognizing each team member's contributions to a project. [65] ,,,,,
P.11.3 Promotion of data to communities of interest," Modes to communicate the existence and location of datasets to targeted groups, e.g., special-topic data publications and presentations at topical workshops. ",,,,,
P.11.4 Cross-institution cooperation," The process of working with other institutions or organizations on a shared activity (e.g., informal collaborations, formal partnerships, and agreements). ",,,,,
P.11.5 Requests for additional data from community, Soliciting data contributions from partners and stakeholders on areas of mutual interest.  ,,,,,
P.12.1 Identification of responsible parties for access, A determination of those individuals authorized to both prohibit and permit access to sensitive data. ,,,,,
P.12.2 Ease of maintenance and implementation of records, The extent to which sensitive data can be kept up to date and made accessible to authorized individuals and groups. ,,,,,
P.12.3 Regulatory compliance," Efforts by organizations to ensure that they are aware of and take steps to conform to relevant laws, policies, and regulations concerning sensitive data (e.g., medical records). [66] ",,,,,
P.12.4 Sensitive data/PII, Data that needs to be controlled due to certain risks. Personally Identifiable Information (PII) is any representation of information that permits the identity of an individual to whom the information applies to be reasonably inferred by either direct or indirect means. [67] ,,,,,
"P.12.5 Limited disclosure, e.g., IP"," Restricting release of data to specific legal circumstances and often requiring notification to the data provider. Intellectual Property (IP) refers to certain exclusive rights granted by law to the owner of, e.g., a novel data product. [68] ",,,,,
P.12.6 Licensing for reuse,Legal agreement that allows one party to use another party's data subject to certain conditions. ,,,,,
"GA.1.1 Measurements, including images, audio recordings, photos/videos","A quantity in various formats, including numerical, visual, and auditory.",,,,,
GA.1.2 Text file,"A type of digital, non-executable file that contains letters, numbers, symbols and/or a combination of these without any special formatting (e.g., ASCII and EBCDIC).",,,,,
"GA.1.3 Computation, simulation","Computation: an act, process, or method of computing. Simulation: any research or development project wherein a model of some authentic phenomenon is created to mimic outcomes that happen in the natural world.",,,,,
GA.1.4 Source code,A set of instructions and statements written by a programmer using a computer programming language. This code is later translated into machine language by a compiler.,,,,,
GA.1.5 Observation,A fact or occurrence often involving measurement with instruments.,,,,,
GA.1.6 Survey,A list of questions aimed at extracting specific data from a particular group of people.,,,,,
GA.1.7 Transaction,"Data that describe an exchange or transfer of goods, services, or funds.",,,,,
GA.1.8 Social media,"Interactive technologies that facilitate the creation and sharing of information (i.e., data) through virtual communities and networks.",,,,,
GA.2.1 In-house generation by researchers,Data created by researchers within an organization and at a physical location internal to the organization.,,,,,
GA.2.2 Remote generation by researchers,Data created by researchers within an organization through control of a instrument or device at a location other than the organization.,,,,,
GA.2.3 In-field generation by researchers,"Data created by researchers within an organization at a physical location external to the organization, which may be a natural environment.",,,,,
GA.2.4 User facility generation by/for researcher,Data created by researchers or facility staff at a federally sponsored research facility available for external use to advance scientific or technical knowledge.,,,,,
GA.2.5 Historical,"Data generated or collected in the past, which may have particular uncertainties due to, e.g., age and loss of metadata.",,,,,
GA.2.6 Human-annotated,"The process of adding metadata or other information in different formats to data by a person such as labels or tags to describe the content or context of images, and labels or tags to classify or extract relevant information from text. Such annotation allows AI and ML models to categorize data and approve the execution of relevant tasks.",,,,,
GA.3.1 Source of objects/subjects,Origin of items used in an experiment.,,,,,
GA.3.2 Characteristics of objects/subjects,"Distinct features of items used in an experiment, e.g., appearance and properties.",,,,,
GA.3.3 Conditions of research study,"Description of the external physical environment in which data were collected (e.g., temperature, atmosphere). Such conditions are types of metadata.",,,,,
GA.3.4 Specification of instruments and tools,"Identification and documentation of measurement equipment and other items, e.g., software, methods, and materials, used in an experimental research study. Includes descriptions of the technical details and requirements of each item.",,,,,
GA.3.5 Parameters for instruments and tools,"Variables or settings on an instrument or tool that are maintained and controlled during an experiment (e.g., laser intensity, gas flow rate, and rate of data collection).",,,,,
"GA.3.6 Methods, protocols, and calibration",Techniques and procedures used in the generation of data.,,,,,
GA.3.7 Data/metadata capture methods,"Techniques and procedures for collecting and recording information, for both short-term and long-term storage.",,,,,
GA.3.8 Provenance and capture methods,"Techniques and procedures for collecting and recording the historical, attributed, and documented record of a data asset that contains details on its origin-where, when, how, and by whom it was generated/acquired/processed-and on all alterations to the data asset.",,,,,
GA.3.9 Reproducibility,"The ability to replicate data using identical tools (e.g., documented metadata, code, methods, and instruments) employed previously by the original researchers or by other researchers, without the need for any additional information or communication with the original researchers.",,,,,
GA.4.1 Input data/metadata,"Information of any type that is entered manually or via an automated process into an instrument, computer, or other device.",,,,,
GA.4.2 Output data/metadata,"Electronic data produced by an instrument, processor, computer, or other device.",,,,,
GA.4.3 Hardware ,"The physical elements that make up a computer or electronic system and everything else involved that is physically tangible, including monitors, hard drives, memory, and the CPU.",,,,,
GA.4.4 Parameters and conditions for computation,"Hardware or software system requirements or configurations that are necessary for a hardware or software application to run smoothly and efficiently, e.g., operating system dependencies, compilers, and memory requirements.",,,,,
GA.4.5 Versioning ,"The process of numbering different releases of entities, e.g., software, hardware, and documents, for the purposes of tracking and recording changes. This provides the ability to revert to a previous revision, which is critical for data traceability and data re-creation, tracking edits, and correcting errors.",,,,,
GA.4.6 Data/metadata capture methods,Techniques and procedures by which information is collected and recorded.,,,,,
GA.4.7 Provenance and capture methods,"Techniques and procedures for collecting and recording the historical, attributed, and documented record of a data asset that contains details on its origin-where, when, how, and by whom it was generated/acquired/processed-and on all alterations to the data asset.",,,,,
GA.4.8 Verification/validation of output data,Verification: the process of determining that a computational model accurately represents the underlying mathematical model and its solution. Validation: the process of determining the degree to which a model is an accurate representation of the real world from the perspective of the intended uses of the model.,,,,,
GA.5.1 Nature of objects/subjects,Types and characteristics of entities which are being studied.,,,,,
GA.5.2 Methods and protocols,"Techniques, standard operating procedures, sets of rules, and guidelines.",,,,,
GA.5.3 Metadata,"Data about data, i.e., data that define and describe the characteristics of other data. Using a survey as an example, metadata include the questions in, and the location of, the survey.",,,,,
GA.5.4 Paradata,"Data about the process by which data were collected. Formalized data on methodologies, processes, and quality associated with the production and assembly of statistical data. Using a survey as an example, paradata include the mode of the survey and responders' response times. Note that paradata are typically associated with social science disciplines; in physical and medical science disciplines, paradata would be included in metadata.",,,,,
GA.5.5 Data/metadata/paradata capture methods,"Techniques and procedures for collecting and recording any type of data, either manually or via an automated process using an instrument, computer, or other device.",,,,,
GA.6.1 From collaborators,Originating from other individuals or other organizations partnering with researchers in an organization.,,,,,
GA.6.2 From repositories,"Originating from a destination designated for data storage. Operations of a repository include preservation, management, and provision of access for digital materials that may have different types and formats.",,,,,
GA.6.3 From the literature,Originating from a publication.,,,,,
GA.6.4 Aggregated datasets from multiple sources,Data compiled from disparate studies that are organized and summarized so that conclusions can be drawn and decisions made from such data-rich collections.,,,,,
GA.6.5 Provenance,"The historical, attributed, and documented record of a data asset that contains details on its origin-where, when, how, and by whom it was generated/acquired/processed-and on all alterations to the data asset.",,,,,
"GA.6.6 Restrictions, fees, and usage agreements ",Mechanisms that may limit the use of acquired data.,,,,,
GA.7.1 Infrastructure to assure the greatest data integrity,"A foundation composed of practices, processes, and procedures designed to produce data that are clean, traceable, and fit for purpose. NIST and KRISS are two institutions that produce critically evaluated data named Standard Reference Data.",,,,,
GA.7.2 Single researcher dataset,A group of data that originates from an individual researcher.,,,,,
GA.7.3 Aggregation of data evaluated by experts,"The process by which data from disparate sources are compiled, reviewed, critiqued, and summarized by subject-matter experts.",,,,,
GA.7.4 Reproducibility and uncertainty quantification,"Reproducibility: the ability to replicate data using identical tools (e.g., documented metadata, code, methods, and instruments) employed previously by the original researchers or by other researchers without the need for any additional information or communication with the original researchers. Uncertainty quantification: Assignment of a numerical value to a non-negative parameter characterizing the dispersion of the quantity values being attributed to a measurand. Critically evaluated data have great reproducibility and small uncertainty.",,,,,
GA.7.5 Intellectual property rights,"Legally enforceable claims for owners of original ideas, inventions, and creative expressions. For intellectual property (IP), any agreement must include an assessment of what IP rights subsist in the data, who owns them, what exceptions or limitations apply, and any contractual rights or policies related to IP that should be considered within the data governance framework, including acquired and generated data as well as “background” (i.e., pre-existing) or “foreground” (i.e., from original research) IP.",,,,,
GA.8.1 Data born FAIR,Data objects that comply with the FAIR principles when first generated or produced.,,,,,
GA.8.2 Data made FAIR,Data objects that are transformed or changed in some manner so that they comply with the FAIR principles.,,,,,
GA.8.3 FAIR digital objects,"Standardized, autonomous, and persistent entities which contain the information needed about different kinds of digital objects (e.g., data, metadata, documents, software, and semantic assertions), to enable both humans and machines to Find, Access, Interoperate, and Reuse (FAIR) these digital objects in highly efficient and cost-effective ways.",,,,,
GA.8.4 FAIR on a continuous scale,"Recognition that there is a degree of FAIRness that ranges from fully FAIR to not FAIR, that may be represented on a numerical scale.",,,,,
"GA.8.5 Guidelines/methodologies for each aspect: F, A, I, R","Means, e.g., standards, best practices, protocols, and software, by which the findability, accessibility, interoperability, and reusability of data may be improved.",,,,,
GA.8.6 Tools to capture FAIR provenance ,"Techniques and procedures for collecting and recording the collective information on the FAIRness of a data asset, from its origin to the present.",,,,,
GA.8.7 FAIR instruments and tools,"Equipment, devices, methods, standards, and other tools that enable the findability, accessibility, interoperability, and reusability of data (e.g., SmartAPI).",,,,,
"GA.8.8 Not FAIR data (e.g., legacy data)","Data that are not findable, accessible, interoperable, and reusable to any degree for various reasons, e.g., obtained using old or obsolete instruments or software.",,,,,
GA.9.1 General vs. domain-specific,Broadly applicable as opposed to limited to a particular field or area.,,,,,
GA.9.2 Standards development organizations vs. community consensus,"Formal, recognized, standards bodies (e.g., ISO and ASTM International), as opposed to informal, self-assembled groups of individuals or institutions with shared interests (e.g., professional societies).",,,,,
GA.9.3 Data format and file structure,"Data format: the organization of data according to preset specifications. File structure: The manner by which data and code are organized within a file with the goal of reusability. In the context of standards, the syntax, encoding, and file format or media type for storing or transmitting data (e.g., CVS and JSON).",,,,,
GA.9.4 Metadata format and file structure,"Metadata format: the organization of information (i.e., metadata) according to preset specifications. File structure: The manner by which metadata are organized within a file. In the context of standards, a metadata standard is a high-level document which establishes a common way of structuring and understanding data, and includes principles and implementation guidance for utilizing the standard. See the RDA Metadata Standards Catalog.",,,,,
GA.9.5 Vocabulary and ontology,"Vocabulary: a compendium of standardized terms with consistent semantic definitions. Ontology: a description of data structure (e.g., classes, properties, and relationships) in a domain of knowledge.",,,,,
GA.9.6 Interoperability,"The capability to seamlessly communicate, execute programs, or transfer data among various functional components that requires the user to have little or no knowledge of the unique characteristics of those components. Interoperability standards enable the operational processes underlying exchange and sharing of information between different systems to ensure that all digital research outputs are Findable, Accessible, Interoperable and Reusable, according to the FAIR principles.",,,,,
GA.10.1 Open source vs. proprietary,"Programs freely distributed with the source code that researchers can modify and subsequently redistribute modified versions thereof vs. programs that are copyrighted and bear limits against use, distribution and modification that are imposed by their publisher, vendor, or developer. Such programs remain the property of their owner/creator and are used by end-users/organizations under predefined conditions.",,,,,
GA.10.2 LIMS,"A laboratory information management system (LIMS) is a software system developed to support laboratory operations, e.g., track specimens and workflows, and collect, annotate, and aggregate data.",,,,,
GA.10.3 Instrument control,Software for configuring the operating parameters of an instrument.,,,,,
GA.10.4 Electronic laboratory notebooks ,"A software tool that digitally replicates paper laboratory notebooks traditionally used in the sciences to record information on observational, experimental, and computational studies.",,,,,
GA.10.5 Audio and video recordings,A digital record used to store and preserve the audible and/or visual components of an event.,,,,,
"PA.1.1 Tables, spreadsheets","Tables: numerical and textual information arranged in rows and columns. Spreadsheets: computer programs that can capture, display and manipulate data arranged in rows and columns.",,,,,
"PA.1.2 Charts, graphs","Visual representations of datasets, e.g., diagrams, pictures, and graphs. Graphical charts show mathematical relationships between varied groups of data.",,,,,
"PA.1.3 Maps, vectors, images","Representations of the relationships between variables, i.e., quantities, phenomena, or entities. Maps: diagrammatic depictions of the association of two or three variables. Vectors: linear depictions of two independent variables. Images: visual depictions of an object in two or three dimensions.",,,,,
PA.1.4 Instrument outputs,"Raw electronic data generated by a piece of equipment, device, or other tool before any human action on the data or processing of the data.",,,,,
PA.1.5 Dynamic data,Data which are changing frequently and at asynchronous moments. Data that may change after they are recorded and have to be continually updated.,,,,,
PA.1.6 Datasets from models and simulations,"Organized collections of data generated by models (i.e., representations, patterns, or mathematical descriptions that can help scientists replicate a system, process, or research result) and simulations (i.e., creation of a model of some authentic phenomenon to mimic outcomes that happen in the natural world).",,,,,
"PA.1.7 Structured data, e.g., hierarchical organization","Data whose elements have been organized (e.g., hierarchical) into a consistent format and data structure within a defined data model such that the elements can be easily addressed, organized, and accessed in various combinations to make better use of the information (e.g., a relational database).",,,,,
PA.2.1 Data cleaning,"The process of detecting and correcting corrupt or inaccurate records in a dataset. This process involves identifying, replacing, modifying, or deleting incomplete, incorrect, inaccurate, inconsistent, irrelevant, and improperly formatted data.",,,,,
"PA.2.2 De-identification, anonymization","A process by which personal data are irreversibly altered in such a way that the person can no longer be identified directly or indirectly, either by the data controller alone or in collaboration with any other party.",,,,,
PA.2.3 Amputation and imputation,"Amputation: a process whereby some valid data points are selectively deleted from a complete dataset. Imputation: a process used to determine and assign replacement values for missing, invalid, or inconsistent data.",,,,,
