SUBTOPIC,DEFINITION
P.2.7 Staffing and training,Costs incurred in assuring that new staff with appropriate skills and expertise are hired for specific data activities and that existing staff attain new and advanced skills through instructional courses. 
P.3.1 Written data management plans (DMPs),"Documents that provide sufficient detail on the following topics: Administrative Data, Data Collection, Documentation and Metadata, Ethics and Legal Compliance, Storage and Backup, Selection and Preservation, Data Sharing, and Responsibilities and Resources. DMPs are referred to herein as a research data ""roadmaps."" [40] "
P.3.2 Purpose/intent of research study and context of anticipated data use, Clear articulation of research objectives in terms of data products that are essential to address specific research and/or technical requirements. 
"P.3.3 Specification of data objects, metadata, analysis tools, and workflows throughout the lifecycle","Detailed descriptions of all information, processes, software, and hardware required from conception to completion of a research data project. "
P.3.4 Machine-readable DMPs,Research data roadmap documents in a form that can be used and understood by a computer. [41] 
P.3.5 Linkage of DMPs to administrative records,"Interconnection of a research data roadmaps to operational data, e.g., agreements, transactions. "
"P.3.6 Data organization in, e.g., a database and a repository, to facilitate future access","The practice of categorizing, classifying, and storing data with sufficient detail and specificity such that the data are readily discoverable and usable by others. [42] "
P.3.7 Data management expertise and training,"In-class, on-line, and/or hands-on instruction for staff to attain the skills and knowledge required to manage data in a research study. "
P.4.1 Quantitative and qualitative,"Quantitative data are numerical data, e.g., measurements and some controlled observations and questionnaires. Qualitative data are defined as non-numerical data, e.g., text, video, photographs, or audio recordings. [43]"
"P.4.2 Measurements, including images, audio recordings, and photos/videos","A quantity in various formats, including numerical, visual, and auditory. "
P.4.3 Observation,A fact or occurrence often involving measurement with instruments. [44] 
P.4.4 Survey,A list of questions aimed for extracting specific data from a particular group of people. [45] 
P.4.5 Software,A computer-based application that converts inputs into outputs to support the user in one or more research tasks. [46] 
P.4.6 Model,"A representation, pattern, or mathematical description that can help scientists replicate a system, process, or research result. [47] "
P.4.7 Documentation (text),"Comprehensive information that accompanies a dataset, including all associated metadata, data dictionary, description of methods and instruments [and software used to generate/collect and] process the data, and other supporting data (e.g., duplicate sample results, replicate analyses). [48] "
P.4.8 Specimen (physical sample),A tangible object that may observed or tested to determine its properties or characteristics. 
P.4.9 Presentation,Material assembled to explain and describe research results or processes to an audience. 
P.5.1 Organizational support for making data more FAIR," Institutional resources to improve the extent of ""FAIRness"" of data. (FAIRness is used herein to denote a continuum state ranging from no FAIR aspects to fully FAIR.) "
P.5.2 Identification of methods/guidelines vis-à-vis FAIR principles,An exercise to locate techniques and recommended procedures related to FAIRness. 
P.6.1 Criteria for selection of data/metadata,"Requirements and needs by which decisions are made regarding what information to generate, collect, and document in a research study. "
P.6.2 Nature of data/metadata required,Specification of the requisite types and characteristics of selected information. 
P.6.3 Intended extent of FAIRness, The degree to which data and metadata are meant to comply with the FAIR data principles. 
P.6.4 Methods to capture and store data/metadata,"Techniques or means by which data/metadata are collected, recorded, and preserved."
P.6.5 Metadata schema," The overall structure of data about the data. Two examples of general-purpose metadata schema are Dublin Core and MODS (Metadata Object Description Schema). [50, 51] "
P.7.1 Design,"A set of principles that are formulated from specific strategies, rules, models, and guidelines for the management and flow of a dataset throughout its lifecycle. "
P.7.2 Processing operations,"Methodology for translating raw data into useable information. Specific methods include, e.g., data preparation, validation, sorting, aggregation, analysis, and reporting."
P.7.3 Workflow,"The process of managing data in a structured manner. It involves collecting, organizing, and processing data so that it can be used for various purposes. [52] "
P.7.4 Model," A detailed description or scaled representation of the relationships and data flow between different components of an RDM system, typically in the form of a diagram or flowchart. [53] "
P.7.5 LIMS," A laboratory information management system (LIMS) is a software system developed to support laboratory operations (e.g., track specimens and workflows and aggregate data). [54] "
"P.7.6 Hosting and storage, cloud storage","Methods whereby, and locations wherein, data are saved and from which data can be retrieved.  "
P.7.7 Configuration management,"The actions of tracking and controlling changes in the hardware and software components, e.g., updates and version control. [55] "
P.7.8 Interoperability among different architectures,"The capability to communicate, execute programs, or transfer data among different RDM systems in a useful and meaningful manner that requires the user to have little or no knowledge of the unique characteristics of those systems. [58]"
P.7.9 Security," Features of the architecture that protect data from unauthorized access, denial of access, corruption, or theft throughout their entire lifecycles. [18] "
P.7.10 Existing standards," Standards relevant to data architecture, including schema (e.g., based on SQL, JSON), format (e.g., JSON, XML), and APIs (e.g., Google Search for the web). "
P.8.1 Organizational research needs," Essential resources required to accomplish the objectives of research projects and RDM (e.g., centralized infrastructure, appropriate training, and support staff). "
P.8.2 Tools to support data-related processes," Items, e.g., instruments, methods, utility software, and APIs, that enable research. "
P.8.3 Models that connect infrastructure to data processes and workflow,A detailed description or scaled representation of the relationships between data tasks and movement and the hardware and software components in an RDMI. [53] 
P.8.4 Interoperability," The capability to seamlessly communicate, execute programs, or transfer data among various functional components .that requires the user to have little or no knowledge of the unique characteristics of those components. [58] "
P.8.5 Persistent instrument identifiers," Globally unique, persistent, and resolvable identifiers of operational scientific instruments enable research data to be persistently associated with such crucial metadata, helping to set data into context. The Research Data Alliance Working Group Persistent Identification of Instruments (PIDINST) developed a metadata schema and prototyped schema implementation and demonstrated the viability of the proposed solution in practice. [59]"
P.8.6 Sustainability of data vis-à-vis obsolete infrastructure, Concerns regarding the ability to reproduce and reuse data if the hardware and software components become outdated or non-functional. 
P.8.7 Security and privacy considerations," The degree of protection of data from unauthorized access, denial of access, corruption, or theft provided by the hardware and software. [18] "
P.8.8 Staff expertise and support staff,"Personnel with the appropriate skills and knowledge to maintain and update the hardware and software infrastructure as needed, and personnel to interface with researchers using the infrastructure. "
"P.9.1 Criteria, i.e., general vs. domain-specific standards","Requirements and needs by which decisions are made regarding the type of research standard, i.e., broadly applicable or limited to a particular field of research. "
P.9.2 Sources of standards/guidelines for data/metadata," Origins of accepted practices consisting of discrete, reusable components, e.g., data types, identifiers, schemas, and formats. Examples include the Dublin Core Metadata Initiative and Schema.org. [60] "
P.9.3 Quality standards," Guidelines that provide sufficient information to allow all users to readily evaluate the degree of “fitness for purpose” of the data. Key data quality components include completeness, accuracy, integrity, consistency, and timeliness. [15, pg 26, 57] "
P.9.4 Community-based standards/conventions ,"Community-based data and metadata standards are typically long-term endeavors with many different players and types of efforts. Such standards facilitate reuse of data integrative analysis and comparison to other datasets and linkage of data with other research products, such as scholarly material, algorithms and software. [63] "
P.10.1 Goals/definition of success,Statement of project objectives; list of accomplishments demonstrating that these objectives were met.  
"P.10.2 Metrics for tracking use and impact measures, including reuse"," Quantitative and qualitative indicators of positive influence or outcomes, (e.g., number of citations of a dataset and anecdotal evidence of reuse of a dataset). [64] "
P.11.1 Methods to share and reuse data/metadata,"Approaches to disseminate data/metadata and to facilitate reusability of data/metadata, (e.g., use of open repositories and maximizing the FAIRness of data). "
P.11.2 Allocation of credit to project team members, Properly documenting and recognizing each team member's contributions to a project. [65] 
P.11.3 Promotion of data to communities of interest," Modes to communicate the existence and location of datasets to targeted groups, e.g., special-topic data publications and presentations at topical workshops. "
P.11.4 Cross-institution cooperation," The process of working with other institutions or organizations on a shared activity (e.g., informal collaborations, formal partnerships, and agreements). "
P.11.5 Requests for additional data from community, Soliciting data contributions from partners and stakeholders on areas of mutual interest.  
P.12.1 Identification of responsible parties for access, A determination of those individuals authorized to both prohibit and permit access to sensitive data. 
P.12.2 Ease of maintenance and implementation of records, The extent to which sensitive data can be kept up to date and made accessible to authorized individuals and groups. 
P.12.3 Regulatory compliance," Efforts by organizations to ensure that they are aware of and take steps to conform to relevant laws, policies, and regulations concerning sensitive data (e.g., medical records). [66] "
P.12.4 Sensitive data/PII, Data that needs to be controlled due to certain risks. Personally Identifiable Information (PII) is any representation of information that permits the identity of an individual to whom the information applies to be reasonably inferred by either direct or indirect means. [67] 
"P.12.5 Limited disclosure, e.g., IP"," Restricting release of data to specific legal circumstances and often requiring notification to the data provider. Intellectual Property (IP) refers to certain exclusive rights granted by law to the owner of, e.g., a novel data product. [68] "
P.12.6 Licensing for reuse,Legal agreement that allows one party to use another party's data subject to certain conditions. 
