TOPIC,SUBTOPIC,Consideration For (Inputs),Activity,Outcomes (see comment),Milestone Indicator (Outputs),Participants,Participant Group,Method,Exemplar@SUNY,Guiding documents
 ,P.2.3 Decision-making tools to assess costs (project),P.2,,,,Researcher,SME and Implementers,,,
 ,P.2.4 Cost-benefit analysis (project),P.2,,,,Researcher,SME and Implementers,,,"[""Cost and Value of Data"" | https://www.ncbi.nlm.nih.gov/books/NBK562702/]"
 ,P.2.5 Cost breakdown by lifecycle stage (project),P.2,,,,Researcher,SME and Implementers,,,
 ,P.2.6 Downstream lifecycle costs (project),P.2,,,,Researcher,SME and Implementers,,,"[""Making Research Data Publicly Accessible: Estimates of Institutional & Researcher Expenses""|https://doi.org/10.29242/report.radsexpense2024], [""COGR Survey Costs""| https://www.cogr.edu/results-cogr-survey-cost-complying-new-nih-dms-policy-1]"
 ,P.2.7 Staffing and training,P.2,,,,,,,,
P.3 Data Management Planning,P.3.1 Written data management plans (DMPs),E.4.3,,All required projects should have a Research Data Management and Sharing Plan to meet funder and institutional needs.,,"Researcher, Librarian, Sponsored Programs, Pre-award",SME and Implementers,,,"[""DMPTool"" | https://dmptool.org/], [""SUNY Guidance on Research Data Management"" | https://sunyolis.libguides.com/c.php?g=1290338&p=9476771]"
The process of organizing and specifying objectives and activities throughout the research data lifecycle.,P.3.2 Purpose/intent of research study and context of anticipated data use,"E.4.3, P.3",,,,"Researcher, Librarian, Sponsored Programs, Pre-award",SME and Implementers,,,
 ,"P.3.3 Specification of data objects, metadata, analysis tools, and workflows throughout the lifecycle","E.4.3, P.3",,,,"Researcher, Librarian, Sponsored Programs, Pre-award",SME and Implementers,,,
 ,P.3.4 Machine-readable DMPs,"E.4.3, P.8",,Research data architecture could include machine-readable DMPs to automate and make actionable RDM process,,,,,,
 ,P.3.5 Linkage of DMPs to administrative records,P.8,,Research data architecture enables linkage of machine-readable DMPs other institutional data systems,,,,,,
 ,"P.3.6 Data organization in, e.g., a database and a repository, to facilitate future access",,,"Appropriate repository is determined to for data deposit to facilitate future access (institutional repository, shared repository, domain-specific or generalist)",,"IT, Library",Connectors/Facilitators,,,"[""Registry of Research Data Repositories"" | https://www.re3data.org/]"
 ,P.3.7 Data management expertise and training,E.4.3,,Research data project participants have necessary RDM expertise and access to RDM training,,,,,,
P.4 Data Objects,P.4.1 Quantitative and qualitative,P.4,,Data objects created or used as part of the research project are known,,"Researcher, Librarian, Sponsored Programs, Pre-award",SME and Implementers,,,
"An entity that, together with associated Representative Information (i.e., metadata), is produced or used in a research study","P.4.2 Measurements, including images, audio recordings, and photos/videos",P.4,,,,,,,,
 ,P.4.3 Observation,P.4,,,,,,,,
 ,P.4.4 Survey,P.4,,,,,,,,
 ,P.4.5 Software,P.4,,,,,,,,
 ,P.4.6 Model,P.4,,,,,,,,
 ,P.4.7 Documentation (text),,,"Data objects and their representation metadata should be documented to maintain accuracy, integrity, and reliability ",,Researcher,SME and Implementers,,,
 ,P.4.8 Specimen (physical sample),P.4,,,,,,,,
 ,P.4.9 Presentation,P.4,,,,,,,,
P.5 FAIR,P.5.1 Organizational support for making data more FAIR,"E.3.6, P.5",,FAIR data is supported and implemented in research project design,,Researcher,SME and Implementers,,,"[""The FAIR Guiding Principles for scientific data management and stewardship""| https://www.nature.com/articles/sdata201618], [""FAIR Principles from Go-FAIR""| https://www.go-fair.org/fair-principles/]"
"Findability, Accessibility, Interoperability, Reuse: a set of guiding principles to support the reusability of data that are beneficial to all scholarly digital research objects.",P.5.2 Identification of methods/guidelines vis-à-vis FAIR principles,"E.3.6, P.5",,,,,,,,
P.6 Data/Metadata Considerations,P.6.1 Criteria for selection of data/metadata,P.6,,Research projects utilize data and metadata practices following RDM guidelines,,,,,,
Factors to take into account prior to conducting a research study,P.6.2 Nature of data/metadata required,P.6,,,,,,,,
 ,P.6.3 Intended extent of FAIRness,"P.5, P.6",,Appropriate metadata is assigned to data to ensure data is FAIR,,,,,,
 ,P.6.4 Methods to capture and store data/metadata,P.6,,,,,,,,
 ,P.6.5 Metadata schema,P.6,,,,,,,,
P.7 Data Architecture,P.7.1 Design,P.7,,Project data architecture should be designed to meet institutional and project data governance needs,,,,,,
"The fundamental structure of an organization's research data management (RDM) system embodied in its components, their relationships to each other and to the environment, and the principles guiding its design and evolution. Includes, for example, the underlying storage technologies, networking, hardware, system interfaces, authentication mechanisms, data brokers, monitoring platforms, semantic interoperability tools, long-term preservation services, and HPC.",P.7.2 Processing operations,P.7,,,,,,,,
 ,P.7.3 Workflow,P.7,,,,,,,,
 ,P.7.4 Model,P.7,,,,,,,,
 ,P.7.5 LIMS,P.7,,,,,,,,
 ,"P.7.6 Hosting and storage, cloud storage",P.7,,,,,,,,
 ,P.7.7 Configuration management,P.7,,,,,,,,
 ,P.7.8 Interoperability among different architectures,P.7,,,,,,,,
 ,P.7.9 Security,P.7,,Data architecture follows project and campus security requirements for access and use,,"IT, CIO",SME and Implementers,,,
 ,P.7.10 Existing standards,P.7,,,,,,,,
P.8 Hardware and Software Infrastructure,P.8.1 Organizational research needs,,,Hardware and software infrastructure for projects producing data should match organizational research needs and standards,,"Researcher, IT",SME and Implementers,,,
The physical and non-physical functional components that collectively form a foundation for conducting research and RDM,P.8.2 Tools to support data-related processes,P.8,,Project hardware and software infrastructure should support RDM,,,,,,
 ,P.8.3 Models that connect infrastructure to data processes and workflow,P.8,,,,"Researcher, IT",SME and Implementers,,,
 ,P.8.4 Interoperability,P.8,,,,,,,,
 ,P.8.5 Persistent instrument identifiers,P.8,,,,,,,,
 ,P.8.6 Sustainability of data vis-à-vis obsolete infrastructure,P.8,,,,,,,,
 ,P.8.7 Security and privacy considerations,"P.8, P.12",,,,"IT, IT security",SME and Implementers,,,
 ,P.8.8 Staff expertise and support staff,P.8,,,,,,,,
P.9 Research Data Standards,"P.9.1 Criteria, i.e., general vs. domain-specific standards",,,"Projects should be developed using federal, organizational, and community research data standards",,Researcher,SME and Implementers,,,
"Documents, including codes, specifications, recommended practices, classifications, test methods and guides, that describe how data should be stored or exchanged for the consistent collection and interoperability of that data across different systems, sources, and users.",P.9.2 Sources of standards/guidelines for data/metadata,P.9,,,,Researcher,SME and Implementers,,,
 ,P.9.3 Quality standards,P.9,,,,Researcher,SME and Implementers,,,
 ,P.9.4 Community-based standards/conventions ,P.9,,,,Researcher,SME and Implementers,,,
P.10 Assessment,P.10.1 Goals/definition of success,,Establish project goals for research data,RDM goals for research projects and research data should be clearly articulated,,,,,,
Evaluation of the success of a research project against expectations set before the project has started,"P.10.2 Metrics for tracking use and impact measures, including reuse",,Create and use data metrics,"Data metrics are used to track use and impact, Data metrics are aligned with project goals",,Researcher,SME and Implementers,,,"[""Make Data Count: Data usage""| https://makedatacount.org/data-usage/]"
P.11 Communication and Outreach,P.11.1 Methods to share and reuse data/metadata,P.11,,"For all research projects, communication and outreach methods and practices should be clearly defined",,Researcher,SME and Implementers,,,
Engagement and interactions among groups and Individual working in similar research areas,P.11.2 Allocation of credit to project team members,,Assign credit to all project members,Research contributions are well defined and transparent,,Researcher,SME and Implementers,,,"[""CRediT Taxonomy Standard""|https://www.credit.niso.org/ ]"
 ,P.11.3 Promotion of data to communities of interest,"P.11, E.6",,,,,,,,
 ,P.11.4 Cross-institution cooperation,"P.11, E.6.1",,,,,,,,
 ,P.11.5 Requests for additional data from community,P.11,,,,,,,,
P.12 Access Control Associated with Data Sensitivity,P.12.1 Identification of responsible parties for access,"E.2.6, P.1.1, P.12","Use and follow appropriate data use agreements, Assign appropriate licenses to products of research","Data use agreements are followed, Research data governance frameworks are established and implemented",,Researcher,SME and Implementers,,,
Methods and requirements to limit the individuals and groups permitted to view or use protected data.,P.12.2 Ease of maintenance and implementation of records,"P.1, P.12",,,,,,,,
 ,P.12.3 Regulatory compliance,"E.2, P.12",,,,,,,,
 ,P.12.4 Sensitive data/PII,"E.2.3, P.12",,,,,,,,
 ,"P.12.5 Limited disclosure, e.g., IP","E.2.7, P.12",,,,,,,,
 ,P.12.6 Licensing for reuse,"E.2.7, P.12",,,,,,,,
GA.1 Data Types,"GA.1.1 Measurements, including images, audio recordings, photos/videos",GA.1,Review Data Curation Network Primers for your dataset during the Generate/Acquire phase,"Unique collection, generation, and storage challenges with specific data types generated in each research project are reviewed and mitigated",,Researcher,SME and Implementers,,,"[""Data Curation Primers by Type of Data""|https://github.com/DataCurationNetwork/data-primers/tree/main ]"
"Classifications or categories of data, each with unique collection, generation, and storage challenges",GA.1.2 Text file,GA.1,,,,,,,,
 ,"GA.1.3 Computation, simulation",GA.1,,,,,,,,
 ,GA.1.4 Source code,GA.1,,,,,,,,
 ,GA.1.5 Observation,GA.1,,,,,,,,
 ,GA.1.6 Survey,GA.1,,,,,,,,
 ,GA.1.7 Transaction,GA.1,,,,,,,,
 ,GA.1.8 Social media,GA.1,,,,,,,,
GA.2 Data Sources,GA.2.1 In-house generation by researchers,GA.2,,Considerations of specific data sources used in each research project are reviewed and documented. A ReadMe file or accompanying metadata exists to document project data generation and use.,,Researcher,SME and Implementers,,,
Where and from which processes data originates,GA.2.2 Remote generation by researchers,GA.2,,,,,,,,
 ,GA.2.3 In-field generation by researchers,GA.2,,,,,,,,
 ,GA.2.4 User facility generation by/for researcher,GA.2,,,,,,,,
 ,GA.2.5 Historical,GA.2,,,,,,,,
 ,GA.2.6 Human-annotated,GA.2,,,,,,,,
GA.3 Generated Experimental Data,GA.3.1 Source of objects/subjects,GA.3,,,,,,,,
Collection of information through active intervention by the researcher to induce and measure changes or to create differences when a variable is altered,GA.3.2 Characteristics of objects/subjects,GA.3,,,,,,,,
 ,GA.3.3 Conditions of research study,GA.3,,,,,,,,
 ,GA.3.4 Specification of instruments and tools,GA.3,,,,,,,,
 ,GA.3.5 Parameters for instruments and tools,GA.3,,,,,,,,
 ,"GA.3.6 Methods, protocols, and calibration",GA.3,,,,,,,,
 ,GA.3.7 Data/metadata capture methods,GA.3,,,,,,,,
 ,GA.3.8 Provenance and capture methods,GA.3,,,,,,,,
 ,GA.3.9 Reproducibility,GA.3,,,,,,,,
GA.4 Generated Computational Data,GA.4.1 Input data/metadata,GA.4,,,,,,,,
Production of information resulting from executing a computer model or simulation,GA.4.2 Output data/metadata,GA.4,,,,,,,,
 ,GA.4.3 Hardware ,GA.4,,,,,,,,
 ,GA.4.4 Parameters and conditions for computation,GA.4,,,,,,,,
 ,GA.4.5 Versioning ,GA.4,,,,,,,,
 ,GA.4.6 Data/metadata capture methods,GA.4,,,,,,,,
 ,GA.4.7 Provenance and capture methods,GA.4,,,,,,,,
 ,GA.4.8 Verification/validation of output data,GA.4,,,,,,,,
GA.5 Qualitative Data,GA.5.1 Nature of objects/subjects,GA.5,,,,,,,,
Non-ordinal and focusing on qualities or characteristics,GA.5.2 Methods and protocols,GA.5,,,,,,,,
 ,GA.5.3 Metadata,GA.5,,,,,,,,
 ,GA.5.4 Paradata,GA.5,,,,,,,,
 ,GA.5.5 Data/metadata/paradata capture methods,GA.5,,,,,,,,
GA.6 Acquired Data,GA.6.1 From collaborators,GA.6,,,,,,,,
Obtained from a source outside of the researchers and which was not originally collected for the current research project ,GA.6.2 From repositories,GA.6,,Persistent identifiers are recorded for reused datasets.,,,,,,
 ,GA.6.3 From the literature,GA.6,,All resources are appropriately referenced in research data outputs.,,,,,,
 ,GA.6.4 Aggregated datasets from multiple sources,GA.6,,Data use agreements follow requirements from sharing institution as well as researcher's institution,,,,,,
 ,GA.6.5 Provenance,GA.6,,Factors related to how data are acquired are reviewed and standardized,,Researcher,SME and Implementers,,,
 ,"GA.6.6 Restrictions, fees, and usage agreements ",GA.6,,,,,,,,
GA.7 Critically Evaluated (CE) Data,GA.7.1 Infrastructure to assure the greatest data integrity,GA.7,,Data should be collected and processed in a standardized way with rigorous methodology to serve as a standard,,Researcher,SME and Implementers,,,
Collected and processed in a standardized way with rigorous methodology to serve as a standard,GA.7.2 Single researcher dataset,GA.7,,,,,,,,
 ,GA.7.3 Aggregation of data evaluated by experts,GA.7,,,,,,,,
 ,GA.7.4 Reproducibility and uncertainty quantification,GA.7,,,,,,,,
 ,GA.7.5 Intellectual property rights,GA.7,,,,,,,,
GA.8 FAIR Principles,GA.8.1 Data born FAIR,"P.5, GA.8",Consider FAIR principles when generating data,FAIR data is supported and implemented during the Generate/Acquire phase,,Researcher,SME and Implementers,,,"[""The FAIR Guiding Principles for scientific data management and stewardship""| https://www.nature.com/articles/sdata201618], [""FAIR Principles from Go-FAIR""| https://www.go-fair.org/fair-principles/]"
Compliance with a set of guiding principles proposed by a consortium of scientists and organizations to support the reusability of digital assets,GA.8.2 Data made FAIR,"P.5, GA.8",,,,,,,,
 ,GA.8.3 FAIR digital objects,"P.5, GA.8",,,,,,,,
 ,GA.8.4 FAIR on a continuous scale,"P.5, GA.8",,,,,,,,
 ,"GA.8.5 Guidelines/methodologies for each aspect: F, A, I, R","P.5, GA.8",,,,,,,,
 ,GA.8.6 Tools to capture FAIR provenance ,"P.5, GA.8",,,,,,,,
 ,GA.8.7 FAIR instruments and tools,"P.5, GA.8",,,,,,,,
 ,"GA.8.8 Not FAIR data (e.g., legacy data)","P.5, GA.8",,,,,,,,
GA.9 Community-Based Standards,GA.9.1 General vs. domain-specific,"P.6, GA.9",,Community-based standards for data and metadata are considered before data collection. Data should be well-defined and interoperable,,Researcher,SME and Implementers,,,
Technical specifications for encoding metadata for machine processing and exchange,GA.9.2 Standards development organizations vs. community consensus,"P.6, GA.7",,,,,,,,
 ,GA.9.3 Data format and file structure,"P.6, GA.7",,Standardized file naming conventions and directory structure used in project,,Researcher,SME and Implementers,,,"[""Cornell File Naming Tips""| https://data.research.cornell.edu/content/file-management], [""Build Your Directory Structure""| https://datamanagement.hms.harvard.edu/collect/directory-structure ] "
 ,GA.9.4 Metadata format and file structure,"P.6, GA.7",,,,,,,,
 ,GA.9.5 Vocabulary and ontology,"P.6, GA.7",,,,,,,,
 ,GA.9.6 Interoperability,"P.6, GA.7",,,,,,,,
GA.10 Acquisition Software,GA.10.1 Open source vs. proprietary,"GA.10, P.8",,Factors related to acquisition software are reviewed and standardized before data generation or collection,,Researcher,SME and Implementers,,,
Programs that enable the collection and procurement of data,GA.10.2 LIMS,"GA.10, P.8",,,,,,,,
 ,GA.10.3 Instrument control,"GA.10, P.8",,,,,,,,
 ,GA.10.4 Electronic laboratory notebooks ,"GA.10, P.8",,,,,,,,
 ,GA.10.5 Audio and video recordings,"GA.10, P.8",,,,,,,,
