Stage,Topic,Activity,Milestone/Indicator,Participants,Participant Group,Methods,Exemplar@SUNY,
Envision,Data Culture and Reward Structure,Recognize values of data workers,Incentives and impact for sharing and reuse,,Strategic Leaders,,,
Envision,Data Culture and Reward Structure,Recognize values of data workers,Disincentives for sharing and reuse,,Strategic Leaders,,,
Envision,Education and Workforce Development,Conduct a workforce skills inventory,,"HR, Librarians, IT, Research and Economic Development",SME and Implementers,,,
Envision,Education and Workforce Development,Provide RDM training,Data management training  ,"HR, Librarians, IT, Research and Economic Development",SME and Implementers,,,
Envision,Education and Workforce Development,Promotion and Tenure includes RDM,Promotional paths and career development,"Campus Departments, HR",,,,
Envision,Resources—Allocation and Sustainability,Find sources of short-term funding,Many funding streams to support research,"Finance, Research and Economic Development, VPR, Provost",Strategic Leaders,,Research Foundation work,
Envision,Resources—Allocation and Sustainability,Find sources of long-term funding,Many funding streams to support research,"Finance, Research and Economic Development, VPR, Provost",Strategic Leaders,,,
Envision,Community Engagement,Create Stakeholder communities,Named Stakeholder communities exist,"Librarians, Research office",SME and Implementers,Data Conversations,"BU Digital Humanities Institutes,UA Copyright First Responders",
Plan,Chain of Control (Custody of Data),Define Roles and responsibilities,RACI chart,"HR, Campus Provost, VPR",Strategic Leaders,"Create Data Use Agreement Policy, Create IT Privacy Policies",,
Plan,Chain of Control (Custody of Data),"Centralized inventory of services, groups, and resources",Data Services Inventory,,Connectors/Faciliators,,,
Plan,Financial Aspects of Planning,Determine funding sources,Funding models for provisioning resources,"Budget Experts, Sponsored Programs, CFO, Operations Managers",Connectors/Faciliators,,,
Plan,Financial Aspects of Planning,Determine funding sources,Decision-making tools to assess costs,,Connectors/Faciliators,,,
Plan,Financial Aspects of Planning,Determine funding sources,Cost-benefit analysis,,Connectors/Faciliators,,,
Plan,Financial Aspects of Planning,Determine funding sources,Cost breakdown by lifecycle stage and beyond,,SME and Implementers,,,
Plan,Financial Aspects of Planning,Staffing and training,Funding workshops for researchers,"Researchers, Sponsored Programs",SME and Implementers,,,
Plan,Data Management Planning,Support researcher creation of DMP,Written data management plans (DMPs),,,,,
Plan,Data Management Planning,Staffing and training,Data management expertise and training,,SME and Implementers,,,
Plan,Data Management Planning,Build an automated RDM infrastructure,Machine-readable DMPs,"IT Head, Librarian",SME and Implementers,,,
Plan,Data Management Planning,Build an automated RDM infrastructure,Linkage of DMPs to administrative records,"IT Head, Librarian",SME and Implementers,,,
Plan,Data Management Planning,Envision Campus Repository Infrastructure,"Data organization in, e.g., a database and a repository, to facilitate future access","Library Deans, Librarians, Researchers",SME and Implementers,,,
Plan,Data/Metadata Considerations,Methods to capture and store data/metadata,Metadata is interoperable and shared across systems,,,,,
Plan,Data Architecture,"Define technical infrastructure (Data, Hardware, Software, Research data)",,"IT Head, Librarian, Database Architect",Connectors/Faciliators,Task Force Subgroup (System design),ORCID Task Force,
Plan,Hardware and Software Infrastructure,"Define technical infrastructure (Data, Hardware, Software, Research data)",,"IT Head, Librarian, Database Architect",Connectors/Faciliators,Task Force Subgroup (System design),,
Plan,Hardware and Software Infrastructure,Use Persistent instrument identifiers,Large scale equipment uses persisten instrument identifiers,,,,,
Plan,Research Data Standards,"Define technical infrastructure (Data, Hardware, Software, Research data)",,"IT Head, Librarian, Database Architect",Connectors/Faciliators,,,
Plan,Assessment,Assess Milestone Achievement and Indicator status,,,,,,
Plan,Communication and Outreach,Activity of Community Engagement in Envision,,,,,,
Plan,Access Control Associated with Data Sensitivity,Create Data Security Plan and Architecture,,,Strategic Leaders,,"Engage with Security Operations Cener (SOC) Information Security Working Group,Enterprise Risk Management Committee",
