TOPIC,SUBTOPIC,Consideration For (Inputs),Activity,Outcomes (see comment),Milestone Indicator (Outputs),Participants,Participant Group,Method,Exemplar@SUNY,Guiding documents,
"The policies, procedures, and processes to manage and monitor an organization’s regulatory [and] legal responsibilities and risks pertaining to data.",E.2.2 Ethics ,"E.1.3, E.2",,,,,,,,,
,E.2.3 Safety and security assurance ,E.2,,,,,,,,,
,E.2.4 Inventory,,Conduct a dataset inventory,"Dataset inventory exists and includes relevant dataset metadata including: repository, identifiers, data usage metrics, creators, funders, supporting grants",Dataset inventory,"IT Head, Librarian",Connectors/Facilitators,Inventory,,,
, ,,Conduct a data services inventory,Data services inventory: includes relevant data services provided across institution or unit,Data Services inventory,"IT Head, Librarian, Department Heads",Connectors/Facilitators,Inventory,"Engage with Security Operations Center (SOC) Information Security Working Group, Enterprise Risk Management Committee","Research Data Curation: A Framework for an Institution-Wide Services Approach (educause.edu), https://sr.ithaka.org/publications/research-data-services-in-us-higher-education/",
,E.2.5 Risk assessment,,Conduct a risk assessment,"Risk is assessed and includes risks associated with unmanaged data, research subject privacy, data preservation, funder compliance",Risk Assessment,"CISO, CIO, Chief Officer for Risk and Compliance",Connectors/Facilitators,Many Risk Assessment tools and framework (NISTIR 8062),,,
,E.2.6 Risk mitigation and management,E.2.5,Implement solutions to mitigate and manage risk discovered in risk assessment,"Risks determined in risk assessment are mitigated, managed, and controlled","Risk mitigation plan, Data Governance plans","CISO, CIO, Chief Officer for Risk and Compliance",Connectors/Facilitators,Many Risk Mitigation tools,,,
,E.2.7 Sharing/licensing,,,Policies for sharing and licensing data exist,Data Use Agreement,Counsel,SME and Implementers,,,,
,E.2.8 Social license for use and reuse,,,Community standards for social licensing of and (re)use of data exist,,,,,,,
,E.2.9 Jurisdiction for sharing and reuse,E.2.7,,,,Counsel,SME and Implementers,,,,
E.3 Data Culture and Reward Structure,E.3.1 Roles and responsibilities,,Define roles and responsibilities for building a strong data sharing culture and rewards structure,Roles and responsibilities are identified and defined for a strong data sharing culture with rewards structure,"RACI matrix, Data Curation Roles Planning Matrix","VPR, Campus Provost, CIO, Library Dean, HR, Department Chairs, Students, Faculty Senate",Strategic Leaders,Task Force,,,
The collective beliefs and behaviors of the people in an organization concerning the value and management of research data. Practices designed to recognize the advantages and accomplishments of sharing data.,E.3.2 Recognition of data management,,Build a data culture,Data management work is recognized and supported ,"Recognition for data management through awards, professional expectations, data metrics, promotion","VPR, Campus Provost, Library Dean, HR, Librarians, Researchers",Strategic Leaders,"Task Force, Campus working groups",,HELIOS work (https://www.heliosopen.org/ourwork),
,E.3.3 Value of data workers,,Build a data culture,Data workers are valued and data work is recognized and supported ,"Recognition for data sharing and open data through awards, professional expectations, data metrics, promotion","HR, Faculty, Administrators",Connectors/Facilitators,Data Governance Council,,,
,E.3.4 Promotion and tenure,,Build a data culture,Promotion and tenure reflect the importance of open research and scholarship,"Data sharing is incentivized in promotion and tenure work through use of data metrics and open publishing, community engagement","VPR, Campus Provost, CIO, Library Dean, HR, Department Chairs, Students, Faculty Senate",,,,,
,E.3.5 Integrity of research and data,,Integrate integrity or research and data into curriculum and RDM training,Researchers are expected to follow standard practices to ensure research and outputs maintain integrity,,"Librarians, Researchers",SME and Implementers,Data Governance Council,,,
, ,,"Perform accuracy checks on all shared or published datasets, Create README files",Data is checked for accuracy before publishing and sharing,,"Librarians, Researchers",SME and Implementers,,,,
,E.3.6 FAIR data principles,,,FAIR data principles are integrated into RDM and data governance efforts,RDM training includes FAIR,"Librarians, Researchers",SME and Implementers,,,,
,E.3.7 Maintenance of FAIR data,E.3.6,,Data sharing infrastructure supports FAIR data,,,,,,,
,E.3.8 Incentives and impact for sharing and reuse,,,Appropriate incentives (or disincentives) exist for data sharing and reuse,Data metrics,,,,,,
,E.3.9 Disincentives for sharing and reuse,E.3.8,,,,,,,,,
,E.3.10 CARE and ethics,E.2.9,,"Principles for Indigenous Data Governance are respected (CARE, OCAP, and ethics)",Statement on Indigenous ethics of ownership,"Librarians, Researchers",SME and Implementers,,,OCAP in this https://fnigc.ca/ocap-training/,
E.4 Education and Workforce Development,E.4.1 Workforce skills inventory,E.2.4,Conduct a Workforce skills inventory to determine an organization's internal capacity to conduct and support RDM,Internal workforce skills inventory exists to document strengths and weaknesses in workforce capacity to conduct RDM,Workforce skills inventory (internal),"Department Deans, Provost",Connectors/Facilitators,Skills inventory,,,
Training to provide staff with the necessary skills and expertise for data-related activities and RDM. Includes leadership support and formal and informal training., ,,Conduct a Workforce skills inventory to determine needs for students to build workforce skills to conduct or support RDM,Statewide workforce skills inventory exists to document strengths and weaknesses in workforce capacity to conduct RDM across NYS are documented,Inventory of state workforce needs that can be addressed through education,System Admin,Strategic Leaders,Skills inventory,,,
,E.4.2 Workforce preparedness in new and advanced technologies,,Provide training and opportunities for employees to build their skills and expertise in emerging technologies,Institution can support RDM through Institutional workforce preparedness activities in new and advanced technologies ,Suite of internal workforce training offered,"Department Deans, Provost",Connectors/Facilitators,Training,,,
, ,,Build workforce preparedness programs for emerging technologies for state workforce,State Workforce is well prepared to adapt and innovate in response to emerging technologies,Educational programs equip students to work with data and emerging technologies,System Admin,Strategic Leaders,Training,,,
,E.4.3 Data management training  ,,Provide research data management training as a data service,"RDM training is available for researchers, faculty, staff, and students",Asynchronous and synchronous RDM training,"Librarians, IT, Research and Economic Development",SME and Implementers,"Asynchronous web-based training, short courses, integrated training in education offerings",,,
,E.4.4 HR’s supporting role in workforce development and training,,Provide research data management training to data service providers,Continual opportunities for RDM training for staff supported,Organization funds training and employee time spent on training,"HR, Librarians, IT, Research and Economic Development",SME and Implementers,"Data curation, preservation, management training opportunities inform providers of RDM services",,,
,E.4.5 Promotional paths and career development,"E.3.3, E.3.4",,,,,Connectors/Facilitators,,,,
E.5 Resources—Allocation and Sustainability,E.5.1 Sources of funding,,Determine initial financial support models to launch RDM infrastructure,RDM is funded through dedicated financial resources (may be temporary),Sources of funding discovered and captured,"Finance, Research and Economic Development, VPR, Provost",Strategic Leaders,Apply for grants,Research Foundation work,,
The distribution and longevity of funding to attain and maintain robust research data programs and RDM infrastructure.,E.5.2 Long-term funding,,Integrate RDM costs into sustainable financial models,RDM funding is operationalized with long-term funding,Long-term funding integrated into budget,"Finance, Research and Economic Development, VPR, Provost",Strategic Leaders,Budget process,,,
 ,E.5.3 Staffing,,"Increase existing staff skills in RDM, redeploy existing staff, or hire new staff members with RDM skills",Staffing is considered in resource allocation,Organization chart,"HR, Finance, Research and Economic Development, VPR, Provost",Strategic Leaders,Training,,,
E.6 Community Engagement,E.6.1 Stakeholder communities,,"Build Stakeholder communities of practice: local, campus, system, national, international",Active RDM stakeholder communities exist,Active communities of practice exist along continuum of emergent data community to established data community,"Librarians, Researchers, Faculty, Administration",Connectors/Facilitators,"Communities of Practice, Task Groups, Mentor models, GRANTED work","GRANTED, Data Curation Network, SUNY campus groups, SUNY system groups ",Leveraging Data Communities to Advance Open Science - Ithaka S+R,
Outreach and interactions among organizations or individuals with shared goals or interests concerning research data activities or RDM,E.6.2 Modes of communication,,Establish communication channels,Consistent modes of communication are established,,"Librarians, Researchers, Faculty, Administration",Connectors/Facilitators,,,,
,E.6.3 Partners/partnerships,,Map potential local stakeholders and partners,"Relevant unit, departmental, institutional, SUNY system-wide, state, national, and funder partnerships are built and nurtured ",,,"Connectors/Facilitators
Strategic Leaders",,,,
,E.6.4 Engagement across knowledge domains and sectors,E.6.1,,,,,,,,,
,E.6.5 Inclusivity in interactions,"E.6.1, E.1.4",,,,,,,,,
,E.6.6 Data services and the beneficiaries,"E.6.1, E.2.4",,,,,,,,,
P.1 Chain of Control (Custody of Data),P.1.1 Roles and responsibilities (Chain of Control),,,"Ownership of data assets within research project is documented, controlled, and managed",,,,,,,
"A complete, fully documented step-by-step history of a data asset in an organization, i.e., who has possession of a data asset, at what time, and for what purpose, at all times throughout the lifecycle of the data asset.",P.1.2 Implementation authority,"E.1.1, P.1",,,,,,,,,
 ,"P.1.3 Centralized inventory of services, groups, and resources",,Conduct project-specific inventory,"Project-specific inventory of services, groups, and resources exists",,,,,,,
 ,P.1.4 Provenance,P.1.1,,,,,,,,,
P.2 Financial Aspects of Planning,P.2.1 Funding models for provisioning resources (project),,,Project planning includes financial considerations to consider in estimating or assessing the costs associated with all research data and RDM activities over the data lifecycle,,,,,,Funding Models: Funding Data Governance - The Data Governance Institute,
Factors to consider in estimating or assessing the costs associated with all research data and RDM activities over the data lifecycle.,P.2.2 Funding sources (project),P.2,,,,,,,,,
 ,P.2.3 Decision-making tools to assess costs (project),P.2,,,,,,,,,
 ,P.2.4 Cost-benefit analysis (project),P.2,,,,,,,,,
 ,P.2.5 Cost breakdown by lifecycle stage (project),P.2,,,,,,,,,
 ,P.2.6 Downstream lifecycle costs (project),P.2,,,,,,,,,
 ,P.2.7 Staffing and training,P.2,,,,,,,,,
P.3 Data Management Planning,P.3.1 Written data management plans (DMPs),E.4.3,,Data Management Planning is expected from all research projects,,,,,,,
The process of organizing and specifying objectives and activities throughout the research data lifecycle.,P.3.2 Purpose/intent of research study and context of anticipated data use,"E.4.3, P.3",,,,,,,,,
 ,"P.3.3 Specification of data objects, metadata, analysis tools, and workflows throughout the lifecycle","E.4.3, P.3",,,,,,,,,
 ,P.3.4 Machine-readable DMPs,"E.4.3, P.8",,Research data architecture includes machine-readable DMPs to standardize and automate capture RDM process,,,,,,,
 ,P.3.5 Linkage of DMPs to administrative records,P.8,,Research data architecture enables linkage of machine-readable DMPs other institutional data systems,,,,,,,
 ,"P.3.6 Data organization in, e.g., a database and a repository, to facilitate future access",,,"Appropriate repository is determined to for data deposit to facilitate future access (institutional repository, shared repository, domain-specific or generalist)",,,,,,,
 ,P.3.7 Data management expertise and training,E.4.3,,Research data project participants have necessary RDM expertise and access to RDM training,,,,,,,
P.4 Data Objects,P.4.1 Quantitative and qualitative,P.4,,,,,,,,,
"An entity that, together with associated Representative Information (i.e., metadata), is produced or used in a research study","P.4.2 Measurements, including images, audio recordings, and photos/videos",P.4,,,,,,,,,
 ,P.4.3 Observation,P.4,,,,,,,,,
 ,P.4.4 Survey,P.4,,,,,,,,,
 ,P.4.5 Software,P.4,,,,,,,,,
 ,P.4.6 Model,P.4,,,,,,,,,
 ,P.4.7 Documentation (text),P.4,,"Data objects and their representation metadata should be documented to maintain accuracy, integrity, and reliability ",,,,,,,
 ,P.4.8 Specimen (physical sample),P.4,,,,,,,,,
 ,P.4.9 Presentation,P.4,,,,,,,,,
P.5 FAIR,P.5.1 Organizational support for making data more FAIR,E.3.6,,FAIR data is supported and implemented in research project design,,,,,,,
"Findability, Accessibility, Interoperability, Reuse: a set of guiding principles to support the reusability of data that are beneficial to all scholarly digital research objects.",P.5.2 Identification of methods/guidelines vis-à-vis FAIR principles,E.3.6,,,,,,,,,
P.6 Data/Metadata Considerations,P.6.1 Criteria for selection of data/metadata,P.6,,Research projects utilize data and metadata practices following RDM guidelines,,,,,,,
Factors to take into account prior to conducting a research study,P.6.2 Nature of data/metadata required,P.6,,,,,,,,,
 ,P.6.3 Intended extent of FAIRness,"P.5, P.6",,,,,,,,,
 ,P.6.4 Methods to capture and store data/metadata,P.6,,,,,,,,,
 ,P.6.5 Metadata schema,P.6,,,,,,,,,
P.7 Data Architecture,P.7.1 Design,,,Project data architecture should be designed to meet institutional and project data governance needs,,,,,ORCID Task Force,,
"The fundamental structure of an organization's research data management (RDM) system embodied in its components, their relationships to each other and to the environment, and the principles guiding its design and evolution. Includes, for example, the underlying storage technologies, networking, hardware, system interfaces, authentication mechanisms, data brokers, monitoring platforms, semantic interoperability tools, long-term preservation services, and HPC.",P.7.2 Processing operations,P.7,,,,,,,,,
 ,P.7.3 Workflow,P.7,,,,,,,,,
 ,P.7.4 Model,P.7,,,,,,,,,
 ,P.7.5 LIMS,P.7,,,,,,,,,
 ,"P.7.6 Hosting and storage, cloud storage",P.7,,,,,,,,,
 ,P.7.7 Configuration management,P.7,,,,,,,,,
 ,P.7.8 Interoperability among different architectures,P.7,,,,,,,,,
 ,P.7.9 Security,P.7,,,,,,,,,
 ,P.7.10 Existing standards,P.7,,,,,,,,,
P.8 Hardware and Software Infrastructure,P.8.1 Organizational research needs,,,Hardware and software infrastructure for projects producing data should match organizational research needs and standards,,,,,,,
The physical and non-physical functional components that collectively form a foundation for conducting research and RDM,P.8.2 Tools to support data-related processes,P.8,,Project hardware and software infrastructure should support RDM,,,,,,,
 ,P.8.3 Models that connect infrastructure to data processes and workflow,P.8,,,,,,,,,
 ,P.8.4 Interoperability,P.8,,,,,,,,,
 ,P.8.5 Persistent instrument identifiers,P.8,,,,,,,,,
 ,P.8.6 Sustainability of data vis-à-vis obsolete infrastructure,P.8,,,,,,,,,
 ,P.8.7 Security and privacy considerations,"P.8, P.12",,,,,,,,,
 ,P.8.8 Staff expertise and support staff,P.8,,,,,,,,,
P.9 Research Data Standards,"P.9.1 Criteria, i.e., general vs. domain-specific standards",,,"Projects should be developed using federal, organizational, and community research data standards",,,,,,,
"Documents, including codes, specifications, recommended practices, classifications, test methods and guides, that describe how data should be stored or exchanged for the consistent collection and interoperability of that data across different systems, sources, and users.",P.9.2 Sources of standards/guidelines for data/metadata,P.9,,,,,,,,,
 ,P.9.3 Quality standards,P.9,,,,,,,,,
 ,P.9.4 Community-based standards/conventions ,P.9,,,,,,,,,
P.10 Assessment,P.10.1 Goals/definition of success,,Establish project goals for research data,RDM goals for research projects and research data should be clearly articulated,,,,,,,
Evaluation of the success of a research project against expectations set before the project has started,"P.10.2 Metrics for tracking use and impact measures, including reuse",,Create and use data metrics,Data metrics are used to track use and impact Data metrics are aligned with project goals,,"Librarians, Researchers, Faculty, Administration, VPR",Connectors/Facilitators,,,,
P.11 Communication and Outreach,P.11.1 Methods to share and reuse data/metadata,,,"For all research projects, communication and outreach methods and practices should be clearly defined",,,,,,,
Engagement and interactions among groups and Individual working in similar research areas,P.11.2 Allocation of credit to project team members,P.11,,,,,,,,,
 ,P.11.3 Promotion of data to communities of interest,"P.11, E.6",,,,,,,,,
 ,P.11.4 Cross-institution cooperation,"P.11, E.6.1",,,,,,,,,
 ,P.11.5 Requests for additional data from community,P.11,,,,,,,,,
P.12 Access Control Associated with Data Sensitivity,P.12.1 Identification of responsible parties for access,"E.2.6, P.1.1",,,,,,,,,
Methods and requirements to limit the individuals and groups permitted to view or use protected data.,P.12.2 Ease of maintenance and implementation of records,P.1,,,,,,,,,
 ,P.12.3 Regulatory compliance,E.2,,,,,,,,,
 ,P.12.4 Sensitive data/PII,E.2.3,,,,,,,,,
 ,"P.12.5 Limited disclosure, e.g., IP",E.2.7,,,,,,,,,
 ,P.12.6 Licensing for reuse,E.2.7,,,,,,,,,
GA.1 Data Types,"GA.1.1 Measurements, including images, audio recordings, photos/videos",,,"Unique collection, generation, and storage challenges with specific data types generated in each research project are reviewed and mitigated",,,,,,,
"Classifications or categories of data, each with unique collection, generation, and storage challenges",GA.1.2 Text file,,,,,,,,,,
 ,"GA.1.3 Computation, simulation",GA.1,,,,,,,,,
 ,GA.1.4 Source code,GA.1,,,,,,,,,
 ,GA.1.5 Observation,GA.1,,,,,,,,,
 ,GA.1.6 Survey,GA.1,,,,,,,,,
 ,GA.1.7 Transaction,GA.1,,,,,,,,,
 ,GA.1.8 Social media,GA.1,,,,,,,,,
GA.2 Data Sources,GA.2.1 In-house generation by researchers,,,Unique challenges with specific data sources used in each research project are reviewed and mitigated,,,,,,,
Where and from which processes data originates,GA.2.2 Remote generation by researchers,GA.2,,,,,,,,,
 ,GA.2.3 In-field generation by researchers,GA.2,,,,,,,,,
 ,GA.2.4 User facility generation by/for researcher,GA.2,,,,,,,,,
 ,GA.2.5 Historical,GA.2,,,,,,,,,
 ,GA.2.6 Human-annotated,GA.2,,,,,,,,,
GA.3 Generated Experimental Data,GA.3.1 Source of objects/subjects,,,Factors related to how data are generated are reviewed and standardized,,,,,,,
Collection of information through active intervention by the researcher to induce and measure changes or to create differences when a variable is altered,GA.3.2 Characteristics of objects/subjects,GA.3,,,,,,,,,
 ,GA.3.3 Conditions of research study,GA.3,,,,,,,,,
 ,GA.3.4 Specification of instruments and tools,GA.3,,,,,,,,,
 ,GA.3.5 Parameters for instruments and tools,GA.3,,,,,,,,,
 ,"GA.3.6 Methods, protocols, and calibration",GA.3,,,,,,,,,
 ,GA.3.7 Data/metadata capture methods,GA.3,,,,,,,,,
 ,GA.3.8 Provenance and capture methods,GA.3,,,,,,,,,
 ,GA.3.9 Reproducibility,GA.3,,,,,,,,,
GA.4 Generated Computational Data,GA.4.1 Input data/metadata,,,Factors related to how data are generated are reviewed and standardized,,,,,,,
Production of information resulting from executing a computer model or simulation,GA.4.2 Output data/metadata,GA.4,,,,,,,,,
 ,GA.4.3 Hardware ,GA.4,,,,,,,,,
 ,GA.4.4 Parameters and conditions for computation,GA.4,,,,,,,,,
 ,GA.4.5 Versioning ,GA.4,,,,,,,,,
 ,GA.4.6 Data/metadata capture methods,GA.4,,,,,,,,,
 ,GA.4.7 Provenance and capture methods,GA.4,,,,,,,,,
 ,GA.4.8 Verification/validation of output data,GA.4,,,,,,,,,
GA.5 Qualitative Data,GA.5.1 Nature of objects/subjects,,,Factors related to the nature of qualitative data collection are reviewed and standardized,,,,,,,
Non-ordinal and focusing on qualities or characteristics,GA.5.2 Methods and protocols,GA.5,,,,,,,,,
 ,GA.5.3 Metadata,GA.5,,,,,,,,,
 ,GA.5.4 Paradata,GA.5,,,,,,,,,
 ,GA.5.5 Data/metadata/paradata capture methods,GA.5,,,,,,,,,
GA.6 Acquired Data,GA.6.1 From collaborators,GA.6,,,,,,,,,
Obtained from a source outside of the researchers and which was not originally collected for the current research project ,GA.6.2 From repositories,GA.7,,,,,,,,,
 ,GA.6.3 From the literature,GA.8,,,,,,,,,
 ,GA.6.4 Aggregated datasets from multiple sources,GA.9,,,,,,,,,
 ,GA.6.5 Provenance,,,Factors related to how data are acquired are reviewed and standardized,,,,,,,
 ,"GA.6.6 Restrictions, fees, and usage agreements ",GA.6,,,,,,,,,
GA.7 Critically Evaluated (CE) Data,GA.7.1 Infrastructure to assure the greatest data integrity,,,Factors related to the nature of critical evaluation and data collection are reviewed and standardized,,,,,,,
Collected and processed in a standardized way with rigorous methodology to serve as a standard,GA.7.2 Single researcher dataset,GA.7,,,,,,,,,
 ,GA.7.3 Aggregation of data evaluated by experts,GA.7,,,,,,,,,
 ,GA.7.4 Reproducibility and uncertainty quantification,GA.7,,,,,,,,,
 ,GA.7.5 Intellectual property rights,GA.7,,,,,,,,,
GA.8 FAIR Principles,GA.8.1 Data born FAIR,"P.5,",,Factors related to FAIR data principles are reviewed and standardized before data collection,,,,,,,
Compliance with a set of guiding principles proposed by a consortium of scientists and organizations to support the reusability of digital assets,GA.8.2 Data made FAIR,"P.5, GA.8",,,,,,,,,
 ,GA.8.3 FAIR digital objects,"P.5, GA.8",,,,,,,,,
 ,GA.8.4 FAIR on a continuous scale,"P.5, GA.8",,,,,,,,,
 ,"GA.8.5 Guidelines/methodologies for each aspect: F, A, I, R","P.5, GA.8",,,,,,,,,
 ,GA.8.6 Tools to capture FAIR provenance ,"P.5, GA.8",,,,,,,,,
 ,GA.8.7 FAIR instruments and tools,"P.5, GA.8",,,,,,,,,
 ,"GA.8.8 Not FAIR data (e.g., legacy data)","P.5, GA.8",,,,,,,,,
GA.9 Community-Based Standards,GA.9.1 General vs. domain-specific,P.6,,Community-based standards for data and metadata are considered before data collection,,,,,,,
Technical specifications for encoding metadata for machine processing and exchange,GA.9.2 Standards development organizations vs. community consensus,"P.6, GA.7",,,,,,,,,
 ,GA.9.3 Data format and file structure,"P.6, GA.7",,,,,,,,,
 ,GA.9.4 Metadata format and file structure,"P.6, GA.7",,,,,,,,,
 ,GA.9.5 Vocabulary and ontology,"P.6, GA.7",,,,,,,,,
 ,GA.9.6 Interoperability,"P.6, GA.7",,,,,,,,,
GA.10 Acquisition Software,GA.10.1 Open source vs. proprietary,,,Factors related to acquisition software are reviewed and standardized before data collection,,,,,,,
Programs that enable the collection and procurement of data,GA.10.2 LIMS,GA.10,,,,,,,,,
 ,GA.10.3 Instrument control,GA.10,,,,,,,,,
 ,GA.10.4 Electronic laboratory notebooks ,GA.10,,,,,,,,,
 ,GA.10.5 Audio and video recordings,GA.10,,,,,,,,,
,,,,,,,,,,,
